merchant,provider,problem_type,reason,recommended_manual_action
American Airlines,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
American Airlines,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
American Airlines,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Advance Auto Parts,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Advance Auto Parts,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Apple,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Apple,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Apple,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Airbnb,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Airbnb,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Autodesk,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Autodesk,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
American Eagle,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
American Eagle,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
American Eagle,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
American Eagle,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
American Eagle,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
American Eagle,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Allstate,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Allstate,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Amazon,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Amazon,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Zappos,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Zappos,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Zappos,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Zappos,Afterpay,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Zappos,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Zappos,Zip,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
